Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,217749,00342100,Bob Jones University,SC,16,,4,NCCAA,1054,1260,2314,2,Basketball,15,13,,,15,13,6463,96950,5981,77752,174702,,,,,,236911,159455,396366,,,,236911,159455,396366,236911,159455,396366,,,,236911,159455,396366
2016,158431,02055400,Bossier Parish Community College,LA,12,,3,NJCAA,1344,2160,3504,2,Basketball,16,11,,,16,11,2688,43010,3827,42102,85112,,,,,,191606,187089,378695,,,,191606,187089,378695,190913,186834,377747,,,,190913,186834,377747
2016,139199,00155600,Brenau University,GA,9,,2,NAIA,91,947,1038,2,Basketball,,19,,,0,19,0,0,1875,35624,35624,,,,,,,357518,357518,,,,0,357518,357518,,353779,353779,,,,0,353779,353779
2016,156356,00195800,Brescia University,KY,10,,2,NAIA,207,500,707,2,Basketball,20,10,,,20,10,1375,27501,1983,19833,47334,,,,,,281546,175249,456795,,,,281546,175249,456795,281546,175249,456795,,,,281546,175249,456795
2016,139205,00155700,Brewton-Parker College,GA,9,,2,NAIA,241,163,404,2,Basketball,54,26,,,54,26,1603,86577,2051,53317,139894,,,,,,609474,315155,924629,,,,609474,315155,924629,609474,315155,924629,,,,609474,315155,924629
2016,219790,00353600,Bryan College-Dayton,TN,10,,2,NAIA,410,460,870,2,Basketball,31,30,,,31,30,1298,40230,1637,49110,89340,,,,,,333822,288366,622188,,,,333822,288366,622188,333822,288366,622188,,,,333822,288366,622188
2016,176789,00245000,Calvary University,MO,8,ACCA,8,other,70,62,132,2,Basketball,12,8,,,12,8,1095,13145,1459,11668,24813,,,,,,32089,27471,59560,,,,32089,27471,59560,28299,27647,55946,,,,28299,27647,55946
2016,156365,00195900,Campbellsville University,KY,9,,2,NAIA,891,1106,1997,2,Basketball,15,15,,,15,15,4511,67664,4334,65006,132670,,,,,,549835,563396,1113231,,,,549835,563396,1113231,536800,556687,1093487,,,,536800,556687,1093487
2016,219806,00348100,Carson-Newman University,TN,4,,1,NCAA,718,992,1710,2,Basketball,16,16,,,16,16,6565,105039,5272,84352,189391,,,,,,629489,629489,1258978,,,,629489,629489,1258978,574676,472536,1047212,,,,574676,472536,1047212
2016,158477,00200300,Centenary College of Louisiana,LA,7,,1,NCAA,205,268,473,2,Basketball,15,13,,,15,13,4231,63460,2843,36954,100414,,,,,,141821,122813,264634,,,,141821,122813,264634,141821,122813,264634,,,,141821,122813,264634
